iso num,iso_alpha,en_name,ka_name
484,MEX,Mexico, მექსიკა
583,FSM,Micronesia (Federated States of), მიკრონეზიის ფედერაციული შტატები
498,MDA,Moldova (Republic of), მოლდოვას რესპუბლიკა
492,MCO,Monaco, მონაკო
496,MNG,Mongolia, მონღოლეთი
499,MNE,Montenegro, ჩერნოგორია
500,MSR,Montserrat, მონსერატი
504,MAR,Morocco, მაროკო
508,MOZ,Mozambique, მოზამბიკი
104,MMR,Myanmar, მიანმარი
516,NAM,Namibia, ნამიბია
520,NRU,Nauru, ნაურუ
524,NPL,Nepal, ნეპალი
528,NLD,Netherlands, ნიდერლანდი
540,NCL,New Caledonia, ახალი კალედონია
554,NZL,New Zealand, ახალი ზელანდია
558,NIC,Nicaragua, ნიკარაგუა
562,NER,Niger, ნიგერი
566,NGA,Nigeria, ნიგერია
570,NIU,Niue, ნიუე
574,NFK,Norfolk Island, ნორფოლკი (კუნძული)
580,MNP,Northern Mariana Islands, ჩრდილოეთი მარიანას კუნძულები
578,NOR,Norway, ნორვეგია
512,OMN,Oman, ომანი
586,PAK,Pakistan, პაკისტანი
585,PLW,Palau, პალაუ
275,PSE,"Palestine, State of"," პალესტინის ტერიტორიები, ოკუპირებული"
591,PAN,Panama, პანამა
598,PNG,Papua New Guinea, პაპუა-ახალი გვინეა
600,PRY,Paraguay, პარაგვაი
604,PER,Peru, პერუ
608,PHL,Philippines, ფილიპინები
612,PCN,Pitcairn, პიტკერნის კუნძულები
616,POL,Poland, პოლონეთი
620,PRT,Portugal, პორტუგალია
630,PRI,Puerto Rico, პუერტო-რიკო
634,QAT,Qatar, კატარი
638,REU,Reunion !Réunion, რეიუნიონი
642,ROU,Romania, რუმინეთი
643,RUS,Russian Federation, რუსეთი
646,RWA,Rwanda, რუანდა
652,BLM,Saint Barthelemy !Saint Barthélemy, სენ-ბართელმი
654,SHN,"Saint Helena, Ascension and Tristan da Cunha", წმინდა ელენეს კუნძული
659,KNA,Saint Kitts and Nevis, სენტ-კიტსი და ნევისი
662,LCA,Saint Lucia, სენტ-ლუსია
663,MAF,Saint Martin (French part), წმინდა მარტინი (საფრანგეთის ნაწილი)
666,SPM,Saint Pierre and Miquelon, სენ-პიერი და მიკელონი
670,VCT,Saint Vincent and the Grenadines, სენტ-ვინსენტი და გრენადინები
882,WSM,Samoa, სამოა
674,SMR,San Marino, სან-მარინო
678,STP,Sao Tome and Principe, სან-ტომე და პრინსიპი
682,SAU,Saudi Arabia, საუდის არაბეთი
686,SEN,Senegal, სენეგალი
688,SRB,Serbia, სერბეთი
690,SYC,Seychelles, სეიშელი
694,SLE,Sierra Leone, სიერა-ლეონე
702,SGP,Singapore, სინგაპური
534,SXM,Sint Maarten (Dutch part)
703,SVK,Slovakia, სლოვაკეთი
705,SVN,Slovenia, სლოვენია
090,SLB,Solomon Islands, სოლომონის კუნძულები
706,SOM,Somalia, სომალი
710,ZAF,South Africa, სამხრეთ აფრიკა
239,SGS,South Georgia and the South Sandwich Islands, სამხრეთი გეორგია და სამხრეთ სენდვიჩის კუნძულები
728,SSD,South Sudan
724,ESP,Spain, ესპანეთი
144,LKA,Sri Lanka, შრი-ლანკა
729,SDN,Sudan
740,SUR,Suriname, სურინამი
744,SJM,Svalbard and Jan Mayen,სვალბარდი და იან-მაიენი
748,SWZ,Swaziland, სვაზილენდი
752,SWE,Sweden, შვედეთი
756,CHE,Switzerland, შვეიცარია
760,SYR,Syrian Arab Republic, სირიის არაბთა რესპუბლიკა
158,TWN,"Taiwan, Province of China", ტაივანი
762,TJK,Tajikistan, ტაჯიკეთი
834,TZA,"Tanzania, United Republic of", ტანზანიის გაერთიანებული რესპუბლიკა
764,THA,Thailand, ტაილანდი
626,TLS,Timor-Leste, აღმოსავლეთი ტიმორი
768,TGO,Togo, ტოგო
772,TKL,Tokelau, ტოკელაუ
776,TON,Tonga, ტონგა
780,TTO,Trinidad and Tobago, ტრინიდადი და ტობაგო
788,TUN,Tunisia, ტუნისი
792,TUR,Turkey, თურქეთი
795,TKM,Turkmenistan, თურქმენეთი
796,TCA,Turks and Caicos Islands, ტერქსისა და კაიკოსის კუნძულები
798,TUV,Tuvalu, ტუვალუ
800,UGA,Uganda, უგანდა
804,UKR,Ukraine, უკრაინა
784,ARE,United Arab Emirates, არაბთა გაერთიანებული საამიროები
826,GBR,United Kingdom of Great Britain and Northern Ireland, გაერთიანებული სამეფო
840,USA,United States of America, აშშ
581,UMI,United States Minor Outlying Islands,აშშ-ის მიმდებარე მცირე კუნძულები
858,URY,Uruguay, ურუგვაი
860,UZB,Uzbekistan, უზბეკეთი
548,VUT,Vanuatu, ვანუატუ
862,VEN,Venezuela (Bolivarian Republic of), ვენესუელა
704,VNM,Viet Nam, ვიეტნამი
092,VGB,Virgin Islands (British), ვირჯინის კუნძულები (ბრიტანეთის)
850,VIR,Virgin Islands (U.S.), ვირჯინის კუნძულები (აშშ-ის)
876,WLF,Wallis and Futuna, უოლისი და ფუტუნა
732,ESH,Western Sahara, დასავლეთი საჰარა
887,YEM,Yemen, იემენი
894,ZMB,Zambia, ზამბია
716,ZWE,Zimbabwe, ზიმბაბვე
530,ANT,, ნიდერლანდის ანტილები
736,SDN,, სუდანი
