რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
ქვემო ქართლი,დმანისი, №1 საჯარო სკოლა,მომავლის კლასი,"22,361.65"
ქვემო ქართლი,ბოლნისი,სოფ. ნახიდურის საჯარო სკოლა,რეაბილიტაცია,"89,999.00"
ქვემო ქართლი,ბოლნისი,სოფ. ჭაპალის საჯარო სკოლა,რეაბილიტაცია,"54,537.80"
ქვემო ქართლი,ბოლნისი, №1 საჯარო სკოლა,მომავლის კლასი,"23,831.05"
იმერეთი ,ქუთაისი, №22 საჯარო სკოლა,რეაბილიტაცია,"20,070.00"
იმერეთი ,ქუთაისი, №22 საჯარო სკოლა,რეაბილიტაცია,"4,000.00"
იმერეთი ,ქუთაისი, №5 საჯარო სკოლა,რეაბილიტაცია,"6,138.00"
იმერეთი ,ქუთაისი, №31 საჯარო სკოლა,რეაბილიტაცია,"17,350.86"
იმერეთი ,ქუთაისი, №2 საჯარო სკოლა,რეაბილიტაცია,"50,867.66"
იმერეთი ,ქუთაისი, №9 საჯარო სკოლა,რეაბილიტაცია,"31,414.36"
იმერეთი ,ქუთაისი, №35 საჯარო სკოლა,რეაბილიტაცია,"27,313.44"
იმერეთი ,ქუთაისი, №35 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"4,110.26"
იმერეთი ,ქუთაისი, №12 საჯარო სკოლა,რეაბილიტაცია,"48,342.66"
იმერეთი ,ქუთაისი, №12 საჯარო სკოლა,გარე კანალიზაციის მოწყობის სამუშაოები,"3,665.95"
იმერეთი ,ქუთაისი, №19 საჯარო სკოლა,რეაბილიტაცია,"21,789.28"
იმერეთი ,ქუთაისი, №16 საჯარო სკოლა,გათბობის სისტემის ნაწ. რეაბილიტაცია,"2,280.00"
იმერეთი ,ქუთაისი, №29 საჯარო სკოლა,გათბობის სისტემის ნაწ. რეაბილიტაცია,"2,942.47"
იმერეთი ,ქუთაისი, №26 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"2,690.81"
იმერეთი ,ქუთაისი, №41 საჯარო სკოლა,მომავლის კლასი,"31,253.50"
იმერეთი ,ბაღდათი, №2 საჯარო სკოლა,რეაბილიტაცია,"18,849.00"
იმერეთი ,ბაღდათი, №2 საჯარო სკოლა,მომავლის კლასი,"30,828.23"
იმერეთი ,ბაღდათი,სოფ. დიმის №1 საჯარო სკოლა,რეაბილიტაცია,"19,952.33"
იმერეთი ,ბაღდათი,სოფ. დიმის №2 საჯარო სკოლა,რეაბილიტაცია,"16,679.30"
