რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
შიდა ქართლი,გორი,სოფ. შავშვების საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"39,266.00"
მცხეთა-მთიანეთი,მცხეთა,სოფ. ძალისის საჯარო სკოლა,რეაბილიტაცია,"11,503.43"
მცხეთა-მთიანეთი,მცხეთა,სოფ. ქსოვრისის საჯარო სკოლა,რეაბილიტაცია,"27,027.04"
მცხეთა-მთიანეთი,მცხეთა,სოფ. ქსნის საჯარო სკოლა,რეაბილიტაცია,"55,932.05"
მცხეთა-მთიანეთი,მცხეთა,სოფ. ძველი ქანდას საჯარო სკოლა,რეაბილიტაცია,"59,800.97"
მცხეთა-მთიანეთი,მცხეთა,სოფ. ნატახტრის საჯარო სკოლა,რეაბილიტაცია,"101,899.16"
მცხეთა-მთიანეთი,მცხეთა,სოფ. ახალდაბას საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"6,980.54"
მცხეთა-მთიანეთი,მცხეთა,სოფ. წეროვანის  №3 საჯარო სკოლა,მომავლის კლასი,"22,673.83"
მცხეთა-მთიანეთი,მცხეთა, №1 საჯარო სკოლა,მომავლის კლასი,"24,991.97"
მცხეთა-მთიანეთი,ყაზბეგი,დაბა სტეფანწმინდის  №1 საჯარო სკოლა,რეაბილიტაცია,"20,728.97"
მცხეთა-მთიანეთი,ყაზბეგი,სოფ. სიონის საჯარო სკოლა,რეაბილიტაცია,"4,178.00"
მცხეთა-მთიანეთი,ყაზბეგი,სოფ. სნოს საჯარო სკოლა,რეაბილიტაცია,"2,146.00"
მცხეთა-მთიანეთი,ყაზბეგი,სოფ. გორისციხე სკოლა,რეაბილიტაცია,"15,582.41"
მცხეთა-მთიანეთი,ყაზბეგი,სოფ. არშას საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"24,954.90"
მცხეთა-მთიანეთი,ყაზბეგი, №1 საჯარო სკოლა,მომავლის კლასი,"21,465.55"
მცხეთა-მთიანეთი,დუშეთი, №1 საჯარო სკოლა,რეაბილიტაცია,"45,370.97"
მცხეთა-მთიანეთი,დუშეთი, №2 საჯარო სკოლა,რეაბილიტაცია,"20,462.90"
მცხეთა-მთიანეთი,დუშეთი, №2 საჯარო სკოლა,მომავლის კლასი,"29,428.08"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ჟინვალის საჯარო სკოლა,რეაბილიტაცია,"104,708.77"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ჟინვალის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"9,872.60"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ჭოპორტის საჯარო სკოლა,რეაბილიტაცია,"11,432.04"
მცხეთა-მთიანეთი,დუშეთი,სოფ. პირმისაანთკარის საჯარო სკოლა,რეაბილიტაცია,"7,957.00"
მცხეთა-მთიანეთი,დუშეთი,სოფ. არაგვირისპირის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"41,298.53"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ანანურის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"62,110.78"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ჭართალის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"32,380.95"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ფასანაურის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"49,772.16"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ჩირიკის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"29,447.35"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ბაზალეთის საჯარო სკოლა,რეაბილიტაცია,"121,143.00"
მცხეთა-მთიანეთი,დუშეთი,სოფ. ბაზალეთის საჯარო სკოლა,გაზმომარაგების სამუშაოები,"3,056.95"
მცხეთა-მთიანეთი,თიანეთი, №1 საჯარო სკოლა,რეაბილიტაცია,"21,849.44"
მცხეთა-მთიანეთი,თიანეთი, №1 საჯარო სკოლა,მომავლის კლასი,"29,727.06"
მცხეთა-მთიანეთი,თიანეთი,სოფ. ნაქალაქარის საჯარო სკოლა,რეაბილიტაცია,"9,366.10"
მცხეთა-მთიანეთი,თიანეთი,სოფ. სიონის საჯარო სკოლა,რეაბილიტაცია,"18,928.00"
მცხეთა-მთიანეთი,თიანეთი,სოფ. სომინიანთხევის საჯარო სკოლა,რეაბილიტაცია,"174,944.71"
კახეთი,ახმეტა, №1 საჯარო სკოლა,რეაბილიტაცია,"95,823.37"
კახეთი,ახმეტა, №2 საჯარო სკოლა,რეაბილიტაცია,"4,681.00"
კახეთი,ახმეტა, №2 საჯარო სკოლა,მომავლის კლასი,"25,666.00"
კახეთი,ახმეტა,სოფ. დუმასტურის საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"3,993.00"
კახეთი,გურჯაანი, №3 საჯარო სკოლა,რეაბილიტაცია,"74,584.00"
კახეთი,გურჯაანი, №4 საჯარო სკოლა,რეაბილიტაცია,"122,970.05"
კახეთი,გურჯაანი,ჩუმლაყის საჯარო სკოლა,რეაბილიტაცია,"97,012.94"
კახეთი,გურჯაანი,სოფ. კალაურის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"42,904.62"
კახეთი,გურჯაანი,სოფ. კალაურის საჯარო სკოლა,სახურავი (სტიქია),"77,469.76"
კახეთი,გურჯაანი,სოფ. შაშიანის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"44,458.22"
კახეთი,გურჯაანი,სოფ. ვაზისუბნის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"40,829.90"
კახეთი,გურჯაანი,სოფ. ვაზისუბნის საჯარო სკოლა,სახურავი (სტიქია),"132,143.16"
კახეთი,გურჯაანი,სოფ. გურჯაანის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"44,537.04"
კახეთი,გურჯაანი,სოფ. ჭანდარის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"44,230.57"
კახეთი,გურჯაანი,სოფ. ვეჯინის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"49,951.27"
კახეთი,გურჯაანი,სოფ. კოლაგის  საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"46,005.30"
კახეთი,გურჯაანი,სოფ. ბაკურციხის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"35,049.46"
კახეთი,გურჯაანი,სოფ. კაჭრეთის საჯარო სკოლა (ნანიანის კორპუსი),რეაბილიტაცია,"155,810.69"
კახეთი,გურჯაანი,სოფ. ვაჩნაძიანის საჯარო სკოლა,სახურავი (სტიქია),"145,396.68"
კახეთი,გურჯაანი, №2 საჯარო სკოლა,მომავლის კლასი,"28,556.00"
კახეთი,დედოფლისწყარო, №2 საჯარო სკოლა,რეაბილიტაცია,"98,400.00"
კახეთი,დედოფლისწყარო,სოფ. ხორნაბუჯის საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"2,176.17"
კახეთი,დედოფლისწყარო, №1 საჯარო სკოლა,მომავლის კლასი,"26,301.00"
კახეთი,ლაგოდეხი,სოფ. ნინიგორის საჯარო სკოლა,რეაბილიტაცია,"94,968.94"
კახეთი,ლაგოდეხი,სოფ. ვარდისუბნის საჯარო სკოლა (საქობოს კორპუსი),რეაბილიტაცია,"182,757.98"
კახეთი,ლაგოდეხი,სოფ. ჭაბუკიანის საჯარო სკოლა,სახურავი (სტიქია),"22,649.83"
კახეთი,ლაგოდეხი,სოფ. აფენის  №1 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"16,683.36"
კახეთი,ლაგოდეხი, №3 საჯარო სკოლა,მომავლის კლასი,"27,057.00"
კახეთი,საგარეჯო, №2 საჯარო სკოლა,რეაბილიტაცია,"78,557.80"
კახეთი,საგარეჯო,სოფ. იორ-მუღანლოს საჯარო სკოლა,მშენებლობა,"277,252.06"
კახეთი,საგარეჯო,შიბლიანის საჯარო სკოლა,ავეჯი ,"8,720.00"
კახეთი,საგარეჯო,შიბლიანის საჯარო სკოლა,ელექტრობა,"4,700.00"
კახეთი,საგარეჯო,შიბლიანის საჯარო სკოლა,მშენებლობა,"779,032.77"
კახეთი,საგარეჯო, №4 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"47,041.21"
კახეთი,საგარეჯო, №4 საჯარო სკოლა,მომავლის კლასი,"26,188.00"
კახეთი,საგარეჯო,სოფ. მანავის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"38,296.98"
კახეთი,საგარეჯო,სოფ. გომბორის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"45,000.00"
კახეთი,სიღნაღი,სოფ. ტიბაანის საჯარო სკოლა,რეაბილიტაცია,"98,208.50"
კახეთი,სიღნაღი,ერისიმედის საჯარო სკოლა,ავეჯი ,"13,190.00"
კახეთი,სიღნაღი,ერისიმედის საჯარო სკოლა,მშენებლობა,"919,433.17"
კახეთი,სიღნაღი,ერისიმედის საჯარო სკოლა,ელექტრობა,"4,300.00"
კახეთი,სიღნაღი,სოფ. წნორის  №1 საჯარო სკოლა,მომავლის კლასი,"17,497.00"
კახეთი,ყვარელი,სოფ. ზინობიანის საჯარო სკოლა,რეაბილიტაცია,"39,408.32"
კახეთი,ყვარელი,სოფ. ბაღლოჯიანის საჯარო სკოლა,რეაბილიტაცია,"49,690.48"
კახეთი,ყვარელი,სოფ. შილდის  №1 საჯარო სკოლა,რეაბილიტაცია,"431,624.54"
კახეთი,თელავი, №9 საჯარო სკოლა,რეაბილიტაცია,"96,548.14"
კახეთი,თელავი, №9 საჯარო სკოლა,სახურავი (სტიქია),"4,964.43"
კახეთი,თელავი, №9 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"19,722.42"
კახეთი,თელავი, №7 საჯარო სკოლა,რეაბილიტაცია,"67,428.98"
კახეთი,თელავი, №7 საჯარო სკოლა,სახურავი (სტიქია),"24,141.00"
კახეთი,თელავი, №8 საჯარო სკოლა,რეაბილიტაცია,"93,872.49"
კახეთი,თელავი, №8 საჯარო სკოლა,სახურავი (სტიქია),"30,478.87"
კახეთი,თელავი,სოფ. ლაფანყურის საჯარო სკოლა,რეაბილიტაცია,"96,544.57"
კახეთი,თელავი,სოფ. ვარდისუბნის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"49,873.60"
კახეთი,თელავი,სოფ. აკურას საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"49,036.58"
კახეთი,თელავი,სოფ. ქვემო ხოდაშენის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"48,540.91"
კახეთი,თელავი,სოფ. კურდღელაურის საჯარო სკოლა,სახურავი (სტიქია),"10,952.22"
კახეთი,თელავი,სოფ. კონდოლის საჯარო სკოლა,სახურავი (სტიქია),"84,681.43"
კახეთი,თელავი,სოფ. ვანთის საჯარო სკოლა,სახურავი (სტიქია),"86,126.16"
კახეთი,თელავი,სოფ. ბუშეტის საჯარო სკოლა,სახურავი (სტიქია),"52,407.12"
კახეთი,თელავი, №1 საჯარო სკოლა,სახურავის შეღებვა,"21,160.49"
კახეთი,თელავი, №1 საჯარო სკოლა,სახურავი (სტიქია),"23,405.89"
კახეთი,თელავი, №2 საჯარო სკოლა,სახურავი (სტიქია),"36,576.77"
კახეთი,თელავი, №4 საჯარო სკოლა,სახურავი (სტიქია),"3,683.79"
კახეთი,თელავი, №4 საჯარო სკოლა,მომავლის კლასი,"14,558.00"
კახეთი,თელავი, №5 საჯარო სკოლა,სახურავი (სტიქია),"3,148.18"
კახეთი,თელავი,თელავის სახელმწიფო უნივერსიტეტი,სახურავი (სტიქია),"137,309.48"
აჭარა,ქობულეთი,"საზოგადოებრივი კოლეჯი ,,ახალი ტალღა""",ეზოს კეთილმოწყობა,"227,830.00"
აჭარა,ქობულეთი,"საზოგადოებრივი კოლეჯი ,,ახალი ტალღა""",ეზოს განათება,"14,558.54"
აჭარა,ქობულეთი,"საზოგადოებრივი კოლეჯი ,,ახალი ტალღა""",რეაბილიტაცია,"1,367,768.37"
აჭარა,ბათუმი, №2 საჯარო სკოლა,მომავლის კლასი,"95,518.32"
აჭარა,ბათუმი,ბათუმის შოთა რუსთაველის სახელმწიფო უნივერსიტეტი,სპორტული დარბაზის რეაბილიტაცია,"96,980.00"
აჭარა,ბათუმი,ბათუმის შოთა რუსთაველის სახელმწიფო უნივერსიტეტი,ბიბლიოთეკის რეაბილიტაცია,"26,894.00"
