რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი, ხელშეკრულების თანხა 
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ თამარისის №1 საჯარო სკოლა,რეაბილიტაცია," 150,644.32 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ მარადისის საჯარო სკოლა,რეაბილიტაცია," 13,712.98 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ კაპანახჩის საჯარო სკოლა,რეაბილიტაცია," 55,653.20 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ ახკერპის საჯარო სკოლა,რეაბილიტაცია," 18,019.97 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ დაშტაფას საჯარო სკოლა,რეაბილიტაცია," 63,230.25 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ კაჩაგანის #2 საჯარო სკოლა,რეაბილიტაცია," 45,638.71 "
ქვემო ქართლი,მარნეული,ქალაქ მარნეულის #4 საჯარო სკოლა,რეაბილიტაცია," 43,650.07 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის სოფელ შაუმიანის საჯარო სკოლა,რეაბილიტაცია," 31,981.69 "
ქვემო ქართლი,მარნეული,მარნეულის მუნიციპალიტეტის ახალი დიოკნისის საჯარო სკოლა,მშენებლობა," 1,932,172.00 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #1 საჯარო სკოლა,რეაბილიტაცია," 30,260.74 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #4 საჯარო სკოლა,რეაბილიტაცია," 163,390.89 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #5 საჯარო სკოლა,რეაბილიტაცია," 107,194.19 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #7 საჯარო სკოლა,რეაბილიტაცია," 78,604.26 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #8 საჯარო სკოლა,რეაბილიტაცია," 12,721.97 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #9 საჯარო სკოლა,რეაბილიტაცია," 39,663.51 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #12 საჯარო სკოლა,რეაბილიტაცია," 24,094.01 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #15 საჯარო სკოლა,რეაბილიტაცია," 10,179.99 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #16 საჯარო სკოლა,რეაბილიტაცია," 11,286.46 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #17 საჯარო სკოლა,რეაბილიტაცია," 25,249.54 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #18 საჯარო სკოლა,რეაბილიტაცია," 41,298.01 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #22 საჯარო სკოლა,რეაბილიტაცია," 15,267.81 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #25 საჯარო სკოლა,რეაბილიტაცია," 17,825.61 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #26 საჯარო სკოლა,რეაბილიტაცია," 18,011.56 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის #28 საჯარო სკოლა,რეაბილიტაცია," 107,181.60 "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის პროფესიული სასწავლებელი '' მოდუსი'',რეაბილიტაცია," 38,765.00 "
ქვემო ქართლი,გარდაბანი,გარდაბნის მუნიციპალიტეტის სოფელ ლემშვენიერას საჯარო სკოლა,რეაბილიტაცია," 235,104.00 "
ქვემო ქართლი,გარდაბანი,გარდაბნის მუნიციპალიტეტის სოფელ ვაზიანის #2 საჯარო სკოლა,რეაბილიტაცია," 77,096.80 "
ქვემო ქართლი,გარდაბანი,გარდაბნის მუნიციპალიტეტის სოფელ თელეთის საჯარო სკოლა,რეაბილიტაცია," 65,292.02 "
ქვემო ქართლი,გარდაბანი,გარდაბნის მუნიციპალიტეტის სოფელ კრწანისის საჯარო სკოლა,რეაბილიტაცია," 130,213.63 "
ქვემო ქართლი,გარდაბანი,გარდაბნის მუნიციპალიტეტის სოფელ ჯანდარას საჯარო სკოლა,რეაბილიტაცია," 128,063.52 "
ქვემო ქართლი,თეთრიწყარო,დიდგორის საჯარო სკოლა,რეაბილიტაცია," 93,866.32 "
ქვემო ქართლი,თეთრიწყარო,თონეთის საჯარო სკოლა,რეაბილიტაცია," 98,534.95 "
ქვემო ქართლი,თეთრიწყარო,სამშვილდეს საჯარო სკოლა,რეაბილიტაცია," 122,080.00 "
ქვემო ქართლი,თეთრიწყარო,ქოსალარის საჯარო სკოლა,რეაბილიტაცია," 23,773.75 "
ქვემო ქართლი,თეთრიწყარო,წინწყაროს საჯარო სკოლა,რეაბილიტაცია," 45,200.00 "
ქვემო ქართლი,თეთრიწყარო,ჭივჭავის საჯარო სკოლა,რეაბილიტაცია," 56,307.10 "
ქვემო ქართლი,თეთრიწყარო,ხაიშის საჯარო სკოლა,რეაბილიტაცია," 247,887.87 "
ქვემო ქართლი,თეთრიწყარო,სამღერეთის საჯარო სკოლა,მშენებლობა," 2,236,000.00 "
შიდა ქართლი,კასპი, ხოვლეს საჯარო სკოლა,მშენებლობა," 803,997.00 "
შიდა ქართლი,კასპი, კავთისხევის საჯარო სკოლა,რეაბილიტაცია," 30,412.95 "
შიდა ქართლი,კასპი, კავთისხევის საჯარო სკოლა,რეაბილიტაცია," 2,675.48 "
შიდა ქართლი,კასპი, სასირეთის საჯარო სკოლა,რეაბილიტაცია," 155,461.37 "
შიდა ქართლი,კასპი, სასირეთის საჯარო სკოლა,რეაბილიტაცია," 9,493.83 "
შიდა ქართლი,კასპი, საქადაგიანოს საჯარო სკოლა,რეაბილიტაცია," 81,938.54 "
შიდა ქართლი,კასპი, საქადაგიანოს საჯარო სკოლა,რეაბილიტაცია," 13,063.54 "
შიდა ქართლი,კასპი, სამთავისის საჯარო სკოლა,რეაბილიტაცია," 169,931.39 "
შიდა ქართლი,კასპი, სამთავისის საჯარო სკოლა,რეაბილიტაცია," 20,250.06 "
შიდა ქართლი,კასპი, ნიგოზას საჯარო სკოლა,რეაბილიტაცია," 61,395.88 "
შიდა ქართლი,კასპი, ქვემო ჭალის საჯარო სკოლა,დემონტაჟის სამუშაოები," 22,500.00 "
შიდა ქართლი,ხაშური, ხაშურის №7 საჯარო სკოლა,რეაბილიტაცია," 121,156.32 "
შიდა ქართლი,ხაშური, დაბა სურამის №1 საჯარო სკოლა,რეაბილიტაცია," 26,492.60 "
შიდა ქართლი,ხაშური, დაბა სურამის №2 საჯარო სკოლა,რეაბილიტაცია," 55,707.19 "
შიდა ქართლი,ხაშური, ალის საჯარო სკოლა,რეაბილიტაცია," 37,422.78 "
შიდა ქართლი,ხაშური, ტეზერის (სავანისუბნის საბაზო) საჯარო სკოლა,რეაბილიტაცია," 9,071.11 "
შიდა ქართლი,ქარელი,აბანოს საჯარო სკოლა,მშენებლობა," 1,439,800.00 "
შიდა ქართლი,ქარელი, ბრეთის მეურნეობის საჯარო სკოლა,რეაბილიტაცია," 8,533.12 "
შიდა ქართლი,ქარელი, ბრეთის საჯარო სკოლა,რეაბილიტაცია," 116,291.24 "
შიდა ქართლი,ქარელი, გვერძინეთის საჯარო სკოლა,რეაბილიტაცია," 38,315.18 "
შიდა ქართლი,ქარელი,ზღუდერის საჯარო სკოლა,რეაბილიტაცია," 22,483.26 "
შიდა ქართლი,ქარელი,თამარაშენის საჯარო სკოლა,რეაბილიტაცია," 37,431.02 "
შიდა ქართლი,ქარელი, კეხიჯვარის საჯარო სკოლა,რეაბილიტაცია," 109,717.84 "
შიდა ქართლი,ქარელი,საღოლაშენის საჯარო სკოლა,რეაბილიტაცია," 99,700.86 "
შიდა ქართლი,გორი,ახრისის საჯარო სკოლა,რეაბილიტაცია," 115,496.00 "
შიდა ქართლი,გორი,ოთარშენის საჯარო სკოლა,რეაბილიტაცია," 20,055.00 "
შიდა ქართლი,გორი,პატარა გარეჯვარის საჯარო სკოლა,რეაბილიტაცია," 97,680.00 "
შიდა ქართლი,გორი, რეხის საჯარო სკოლა,რეაბილიტაცია," 27,261.00 "
შიდა ქართლი,გორი,სათემოს საჯარო სკოლა,რეაბილიტაცია," 42,646.00 "
შიდა ქართლი,გორი,სვენეთის საჯარო სკოლა,რეაბილიტაცია," 183,244.00 "
შიდა ქართლი,გორი,ვარიანის საჯარო სკოლა,რეაბილიტაცია," 42,296.00 "
შიდა ქართლი,გორი, გორის #10 საჯარო სკოლა,რეაბილიტაცია," 14,906.00 "
შიდა ქართლი,გორი, გორის #11 საჯარო სკოლა,რეაბილიტაცია," 87,358.00 "
შიდა ქართლი,გორი, გორის #1 საჯარო სკოლა,რეაბილიტაცია," 16,703.22 "
შიდა ქართლი,გორი, გორის #4 საჯარო სკოლა,რეაბილიტაცია," 19,315.72 "
შიდა ქართლი,გორი, გორის #9 საჯარო სკოლა,რეაბილიტაცია," 23,907.06 "
შიდა ქართლი,გორი,ბნავისის საჯარო სკოლა,რეაბილიტაცია," 49,528.61 "
შიდა ქართლი,გორი,მერეთის საჯარო სკოლა,რეაბილიტაცია," 66,105.12 "
შიდა ქართლი,გორი,მეღვრეკისის საჯარო სკოლა,რეაბილიტაცია," 34,689.12 "
შიდა ქართლი,გორი,ბერშუეთის საჯარო სკოლა,რეაბილიტაცია," 97,255.17 "
შიდა ქართლი,გორი,ბოშურის საჯარო სკოლა,რეაბილიტაცია," 106,156.13 "
შიდა ქართლი,გორი,ზეღდულეთის საჯარო სკოლა,რეაბილიტაცია," 134,162.42 "
სამეგრელო-ზემო სვანეთი,სენაკი,სენაკის მუნიციპალიტეტის სოფელ ზანის საჯარო სკოლა,რეაბილიტაცია," 68,779.03 "
სამეგრელო-ზემო სვანეთი,სენაკი,სენაკის მუნიციპალიტეტის სოფელ თეკლათის საჯარო სკოლა,რეაბილიტაცია," 43,647.77 "
სამეგრელო-ზემო სვანეთი,სენაკი,სენაკის მუნიციპალიტეტის სოფელ ლეძაძამეს საჯარო სკოლა,რეაბილიტაცია," 49,726.20 "
სამეგრელო-ზემო სვანეთი,სენაკი,სენაკის მუნიციპალიტეტის სოფელ ქვემო ფოცხოს საჯარო სკოლა,რეაბილიტაცია," 71,734.81 "
სამეგრელო-ზემო სვანეთი,სენაკი,სენაკის მუნიციპალიტეტის სოფელ ძველი სენაკის საჯარო სკოლა,რეაბილიტაცია," 114,111.17 "
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ გურძემის საჯარო სკოლა,რეაბილიტაცია,"57,671.48"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ ნოღის საჯარო სკოლა,რეაბილიტაცია,"46,279.05"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ ონოღიის საჯარო სკოლა,რეაბილიტაცია,"79,334.11"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ კურზუს საჯარო სკოლა,რეაბილიტაცია,"127,971.62"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ თამაკონის საჯარო სკოლა,რეაბილიტაცია,"48,988.64"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ ვედიდკარის საჯარო სკოლა,რეაბილიტაცია,"61,437.71"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ დიდი ჭყონის #1 საჯარო სკოლა,რეაბილიტაცია,"66,375.60"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ ლეცავეს საჯარო სკოლა,რეაბილიტაცია,"40,348.12"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ ლეციცხვაიეს საჯარო სკოლა,რეაბილიტაცია,"112,209.64"
სამეგრელო-ზემო სვანეთი,მარტვილი,მარტვილის მუნიციპალიტეტის სოფელ მუხურჩას საჯარო სკოლა,რეაბილიტაცია," 88,505.49 "
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #2 საჯარო სკოლა,რეაბილიტაცია,"24,000.00"
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #3 საჯარო სკოლა,რეაბილიტაცია,"20,444.00"
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #5 საჯარო სკოლა,რეაბილიტაცია,"24,000.00"
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #8 საჯარო სკოლა,რეაბილიტაცია,"3,333.00"
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #11საჯარო სკოლა,რეაბილიტაცია,"36,193.64"
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #12 საჯარო სკოლა,რეაბილიტაცია,"27,555.00"
სამეგრელო-ზემო სვანეთი,ფოთი,ქალაქ ფოთის #15 საჯარო სკოლა,რეაბილიტაცია," 25,222.00 "
სამეგრელო-ზემო სვანეთი,აბაშა,ქალაქ აბაშის #2 საჯარო სკოლა,რეაბილიტაცია,"79,157.97"
სამეგრელო-ზემო სვანეთი,აბაშა,აბაშის მუნიციპალიტეტის სოფელ ძველი აბაშის საჯარო სკოლა,რეაბილიტაცია,"48,544.85"
სამეგრელო-ზემო სვანეთი,აბაშა,აბაშის მუნიციპალიტეტის სოფელ გეზათის საჯარო სკოლა,რეაბილიტაცია,"25,447.64"
სამეგრელო-ზემო სვანეთი,აბაშა,აბაშის მუნიციპალიტეტის სოფელ ეწერის საჯარო სკოლა,რეაბილიტაცია,"63,039.33"
სამეგრელო-ზემო სვანეთი,აბაშა,აბაშის მუნიციპალიტეტის სოფელ სუჯუნას საჯარო სკოლა,რეაბილიტაცია,"70,670.24"
სამეგრელო-ზემო სვანეთი,აბაშა,აბაშის მუნიციპალიტეტის სოფელ მარანის საჯარო სკოლა,რეაბილიტაცია," 43,136.03 "
სამეგრელო-ზემო სვანეთი,ჩხოროწყუ,ნაფიჩხოვოს თემის საჯარო სკოლა (ხანწკის კორპუსი),რეაბილიტაცია,"73,562.80"
სამეგრელო-ზემო სვანეთი,ჩხოროწყუ, ჩხოროწყუს მუნიციპალიტეტის კირცხის თემის №2 საჯარო სკოლა,რეაბილიტაცია,"87,026.45"
სამეგრელო-ზემო სვანეთი,ჩხოროწყუ,ნაფიჩხოვოს თემის საჯარო სკოლა (ლედარსალეს კორპუსი),რეაბილიტაცია," 54,410.75 "
სამეგრელო-ზემო სვანეთი,მესტია,ეცერის საჯარო სკოლა,რეაბილიტაცია," 72,219.69 "
სამეგრელო-ზემო სვანეთი,მესტია,ჭუბერის საჯარო სკოლა,რეაბილიტაცია," 59,351.23 "
სამეგრელო-ზემო სვანეთი,მესტია,ცხუმარის საჯარო სკოლა,რეაბილიტაცია," 23,015.26 "
სამეგრელო-ზემო სვანეთი,მესტია,მულახის საჯარო სკოლა,რეაბილიტაცია," 51,228.79 "
სამეგრელო-ზემო სვანეთი,მესტია,ლატალის საჯარო სკოლა,რეაბილიტაცია," 91,801.33 "
სამეგრელო-ზემო სვანეთი,მესტია,ფარის საჯარო სკოლა,რეაბილიტაცია," 60,181.46 "
სამეგრელო-ზემო სვანეთი,მესტია,დაბა მესტიის #1 საჯარო სკოლა,რეაბილიტაცია," 2,220.35 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,გიორგი მებონიას სახელობის წალენჯიხის მუნიციპალიტეტის ობუჯის თემის №1 საჯარო სკოლა,რეაბილიტაცია," 80,887.87 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,კალისტრატე სალიას სახელობის წალენჯიხის მუნიციპალიტეტის ჯგალის თემის საჯარო სკოლა,რეაბილიტაცია," 32,521.58 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,მელიტონ ქანთარიას სახელობის წალენჯიხის მუნიციპალიტეტის ქალაქ ჯვარის №3 საჯარო სკოლა,რეაბილიტაცია," 23,550.39 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,ჟორჟი კვარაცხელიას სახელობის წალენჯიხის მუნიციპალიტეტის მიქავას თემის №1 საჯარო სკოლა,რეაბილიტაცია," 95,119.75 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,ქალაქ წალენჯიხის №2 საჯარო სკოლა,რეაბილიტაცია," 55,895.79 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,წალენჯიხის მუნიციპალიტეტის ლიის თემის №1 საჯარო სკოლა,რეაბილიტაცია," 69,361.32 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,წალენჯიხის მუნიციპალიტეტის მიქავას თემის №2 საჯარო სკოლა,რეაბილიტაცია," 87,177.57 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,წალენჯიხის მუნიციპალიტეტის საჩინოს თემის №1 საჯარო სკოლა,რეაბილიტაცია," 24,325.73 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ანაკლიის საჯარო სკოლა,რეაბილიტაცია," 51,144.89 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ახალკახათის საჯარო სკოლა,რეაბილიტაცია," 64,442.56 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ჩხორიის საჯარო სკოლა,რეაბილიტაცია," 16,791.68 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ დარჩელის #2 საჯარო სკოლა,რეაბილიტაცია," 141,718.24 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ კახათის #1 საჯარო სკოლა,რეაბილიტაცია," 94,902.62 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის #8 საჯარო სკოლა,რეაბილიტაცია," 103,595.38 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ერგეტას საჯარო სკოლა,რეაბილიტაცია," 90,740.47 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის #10 საჯარო სკოლა,რეაბილიტაცია," 56,571.79 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ონარიის საჯარო სკოლა,რეაბილიტაცია," 40,208.87 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ურთას საჯარო სკოლა,რეაბილიტაცია," 77,161.97 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის მუნიციპალიტეტის სოფელ ყულიშკარის საჯარო სკოლა,რეაბილიტაცია," 62,954.52 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ ბიის საჯარო სკოლა,რეაბილიტაცია," 61,210.05 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ ზემო ქვალონის საჯარო სკოლა,რეაბილიტაცია," 68,468.32 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ ხეთის საჯარო სკოლა,რეაბილიტაცია," 34,678.99 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ საჯიჯაოს საჯარო სკოლა,რეაბილიტაცია," 48,592.41 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ ნოჯიხევის საჯარო სკოლა,რეაბილიტაცია," 71,363.29 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ პირველი მაისის საჯარო სკოლა,რეაბილიტაცია," 38,599.90 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის მუნიციპალიტეტის სოფელ პატარა ფოთის საჯარო სკოლა,რეაბილიტაცია," 32,994.22 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის #1 საჯარო სკოლა,რეაბილიტაცია," 51,233.47 "
სამეგრელო-ზემო სვანეთი,ხობი,ხობის #2 საჯარო სკოლა,რეაბილიტაცია," 17,997.58 "
სამცხე-ჯავახეთი,ახალციხე,ქალაქ ახალციხის №2 საჯარო სკოლა,რეაბილიტაცია,"84,855.56"
სამცხე-ჯავახეთი,ახალციხე,ახალციხის მუნიციპალიტეტის სოფელ გურკელის საჯარო სკოლა,რეაბილიტაცია,"108,777.97"
სამცხე-ჯავახეთი,ახალციხე,ახალციხის მუნიციპალიტეტის სოფელ ფერსის საჯარო სკოლა,რეაბილიტაცია,"105,793.78"
სამცხე-ჯავახეთი,ახალციხე,ახალციხის მუნიციპალიტეტის სოფელ აწყურის საჯარო სკოლა,რეაბილიტაცია," 87,572.69 "
სამცხე-ჯავახეთი,ასპინძა,ასპინძის მუნიციპალიტეტის სოფელ დამალას საჯარო სკოლა,რეაბილიტაცია,"152,814.81"
სამცხე-ჯავახეთი,ასპინძა,ასპინძის მუნიციპალიტეტის სოფელ ივერიას საჯარო სკოლა,რეაბილიტაცია," 34,684.19 "
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ ჭობისხევის საჯარო სკოლა,რეაბილიტაცია,"52,155.46"
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ დვირის საჯარო სკოლა,რეაბილიტაცია,"41,578.10"
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ ქვაბისხევის საჯარო სკოლა,რეაბილიტაცია,"46,501.40"
სამცხე-ჯავახეთი,ბორჯომი,ქალაქ ბორჯომის #6 საჯარო სკოლა,რეაბილიტაცია,"70,530.80"
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ კორტანეთის საჯარო სკოლა,რეაბილიტაცია,"43,948.86"
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ ლიკანის საჯარო სკოლა,რეაბილიტაცია,"46,777.30"
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ რველის საჯარო სკოლა,რეაბილიტაცია,"51,649.66"
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ ყვიბისის საჯარო სკოლა,რეაბილიტაცია," 28,255.48 "
სამცხე-ჯავახეთი,ახალქალაქი,ბუღაშენის საჯარო სკოლა,მშენებლობა," 1,167,600.00 "
სამცხე-ჯავახეთი,ახალქალაქი,ახალქალაქის მუნიციპალიტეტის სოფელ აგანის საჯარო სკოლა,რეაბილიტაცია,"120,998.00"
სამცხე-ჯავახეთი,ახალქალაქი,ახალქალაქის მუნიციპალიტეტის სოფელ ალასტანის საჯარო სკოლა,რეაბილიტაცია,"203,720.15"
სამცხე-ჯავახეთი,ახალქალაქი,ახალქალაქის მუნიციპალიტეტის სოფელ დადეშის საჯარო სკოლა,რეაბილიტაცია,"34,508.00"
სამცხე-ჯავახეთი,ახალქალაქი,ქალაქ ახალქალაქის #1 საჯარო სკოლა,რეაბილიტაცია,"36,902.00"
სამცხე-ჯავახეთი,ახალქალაქი,ქალაქ ახალქალაქის #4 საჯარო სკოლა,რეაბილიტაცია,"36,582.00"
სამცხე-ჯავახეთი,ახალქალაქი,ქალაქ ახალქალაქის #5 საჯარო სკოლა,რეაბილიტაცია,"32,539.00"
სამცხე-ჯავახეთი,ახალქალაქი,ახალქალაქის მუნიციპალიტეტის სოფელ ხანდოს საჯარო სკოლა,რეაბილიტაცია," 44,338.00 "
სამცხე-ჯავახეთი,ნინოწმინდა,სათხის საჯარო სკოლა,რეაბილიტაცია," 115,304.69 "
სამცხე-ჯავახეთი,ნინოწმინდა,ნინოწმინდის მუნიციპალიტეტის სოფელ ჰეშტიის №1 საჯარო სკოლა,რეაბილიტაცია," 179,848.24 "
სამცხე-ჯავახეთი,ნინოწმინდა,ჯიგრაშენის საჯარო სკოლა,რეაბილიტაცია," 93,624.07 "
სამცხე-ჯავახეთი,ადიგენი,ვარხანის საჯარო სკოლა,რეაბილიტაცია," 194,999.00 "
სამცხე-ჯავახეთი,ადიგენი,ვარხანის საჯარო სკოლა,რეაბილიტაცია," 8,857.60 "
სამცხე-ჯავახეთი,ადიგენი,დაბა ადიგენის საჯარო სკოლა,ძველი შენობის დემონტაჟი," 79,907.38 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ჭილურტის საჯარო სკოლა,რეაბილიტაცია,"50,290.14"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ შუახევის საჯარო სკოლა,რეაბილიტაცია,"32,213.14"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ყვავილის საჯარო სკოლა,რეაბილიტაცია,"61,177.14"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ საკრამულოს საჯარო სკოლა,რეაბილიტაცია,"9,517.02"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ოძისის საჯარო სკოლა,რეაბილიტაცია,"86,934.75"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ მჭადიჯვრის საჯარო სკოლა,რეაბილიტაცია,"98,647.85"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ლამოვანის საჯარო სკოლა,რეაბილიტაცია,"37,059.23"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ჭილურტის საჯარო სკოლა  (ებნისი),რეაბილიტაცია,"82,088.35"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ გრემისხევის საჯარო სკოლა,რეაბილიტაცია,"33,682.63"
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ არღუნის საჯარო სკოლა,რეაბილიტაცია," 26,219.76 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ანანურის საჯარო სკოლა,რეაბილიტაცია," 42,655.90 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ხანდოს საჯარო სკოლა,რეაბილიტაცია, -   
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ფასანაურის საჯარო სკოლა,რეაბილიტაცია," 29,646.90 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ გუდამაყრის საჯარო სკოლა,რეაბილიტაცია," 46,276.30 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ბარისახოს საჯარო სკოლა,რეაბილიტაცია," 77,761.60 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ მაღაროსკარის საჯარო სკოლა,რეაბილიტაცია," 53,348.50 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ შატილის საჯარო სკოლა,რეაბილიტაცია," 7,337.60 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ შუაფხოს საჯარო სკოლა,რეაბილიტაცია," 16,006.90 "
