რეგიონი,რაიონი,სკოლა,მოსწავლეები,მასწავლებლები,მისამართი
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №1 საჯარო სკოლა,272,24,"ქ. ზუგდიდი, აღმაშენებლის ქ. №222"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №10 საჯარო სკოლა,261,30,"დაბა ჩხოროწყუ, სტალინის ქ. №5"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №11 საჯარო სკოლა,229,21,"ქ. ზუგდიდი, ქუჯის №10"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №12 საჯარო სკოლა,184,21,"ზუგდიდი, ჯანაშიას  ქ. №1"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №13 საჯარო სკოლა,97,20,გალის   რაიონის  სოფ. ნაბაკევი
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №14 საჯარო სკოლა,106,20,"ზუგდიდი, სოფ. ახალკახათი"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №15 საჯარო სკოლა,70,20,ზუგდიდის რაიონის სოფ. ზედა ეწერი
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №16 საჯარო სკოლა,79,19,"გალის  რაიონი, სოფელი ოტობაია"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №2 საჯარო სკოლა,111,21,"თბილისი, ვაშლიჯვარი, გელოვანის ქ. №4"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №21 საჯარო სკოლა,186,28,"ქ. ფოთი, ტაბიძის ქ. №12"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №22 საჯარო სკოლა,14,8,"ბორჯომის რაიონი, დაბა ლიკანი, მესხეთის  ქ. №39"
აფხაზეთი,აფხაზეთი,სსიპ - აფხაზეთის №5 საჯარო სკოლა,156,24,"ქუთაისი,  ჭავჭავაძის ქ. №6ა"
აფხაზეთი,აფხაზეთი,სსიპ - ვოვა ვეკუას სახელობის აფხაზეთის №3 საჯარო სკოლა,129,22,"თბილისი, თბილისის ზღვა ყოფილი პროფკავშირების სასწავლო ცენტრი"
აფხაზეთი,აფხაზეთი,სსიპ - თემურ ბოკუჩავას სახელობის აფხაზეთის №7 საჯარო სკოლა,223,25,"სენაკი, ყოფილი სამხედრო დასახლების სკოლის შენობა"
აფხაზეთი,აფხაზეთი,სსიპ - ჟიული შარტავას სახელობის აფხაზეთის №6 საჯარო სკოლა,162,21,"ქუთაისი, ნიკეას ქ. მე-3 შესახვევი №2"
აჭარა,ბათუმი,სსიპ - აკაკი წერეთლის სახელობის ქალაქ ბათუმის №11 საჯარო სკოლა,397,34,"ბათუმი, გოგებაშვილის 40"
აჭარა,ბათუმი,სსიპ - ილია ჭავჭავაძის სახელობის ქალაქ ბათუმის №1 საჯარო სკოლა,2065,110,"ბათუმი, დ. თავდადებულის 47"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №10 საჯარო სკოლა,1097,84,"ბათუმი, ბაგრატიონის 121"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №13 საჯარო სკოლა,328,34,"ბათუმი, მთისძირის 43"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №14 საჯარო სკოლა,952,73,"ბათუმი, ინასარიძის 15"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №15 საჯარო სკოლა,551,41,"ბათუმი, გორგასლის 160"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №16 საჯარო სკოლა,1016,65,"ბათუმი, მაიაკოვსკის 3"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №17 საჯარო სკოლა,442,42,"ბათუმი, ნონეშვილის 6"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №18 საჯარო სკოლა,1104,82,"ბათუმი, გრიშაშვილის 3"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №2 საჯარო სკოლა,1852,99,"ბათუმი, ჯინჭარაძის 19"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №20 საჯარო სკოლა,546,53,"ბათუმი, მელიქიშვილის 125"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №22 საჯარო სკოლა,1118,68,სოფ. შარაბიძეები
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №23 საჯარო სკოლა,216,28,სოფ. მახვილაური
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №25 საჯარო სკოლა,641,50,სოფ. კახაბერი
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №26 საჯარო სკოლა,372,39,სოფ. კახაბერი
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №27 საჯარო სკოლა,194,23,სოფ. ადლია
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №28 საჯარო სკოლა,341,39,სოფ. ურეხი
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №29 საჯარო სკოლა,161,23,სოფ. ინჯალო
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №3 საჯარო სკოლა,1140,71,"ბატუმი, ვ. გორგასლის 122"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №30 საჯარო სკოლა,412,35,"ქალაქი ბათუმი, სვიმონ კანანელის ქუჩა N1"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №31 საჯარო სკოლა,61,9,სოფ. თოდოგაური
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №4 საჯარო სკოლა,630,50,"ბათუმი, პუშკინის 63"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №5 საჯარო სკოლა,960,73,მაიაკოვსკის ქ.№56
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №6 ფიზიკა-მათემატიკის საჯარო სკოლა,510,39,"ბათუმი, ფიროსმანის #5"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №7 საჯარო სკოლა,776,66,"ბათუმი, ჰ. აბაშიძის 30"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №8 საჯარო სკოლა,1643,90,"ბათუმი, გრიბოედოვის 35"
აჭარა,ბათუმი,სსიპ - ქალაქ ბათუმის №9 საჯარო სკოლა,1327,105,"ბათუმი, ტაბიძის 13"
აჭარა,ბათუმი,შპს  ახალგაზრდობა,19,10,"ბათუმი, ფიროსმანის 8/10"
აჭარა,ბათუმი,შპს  ბათუმის წმინდა ანდრია პირველწოდებულის სახელობის სკოლა,1467,77,"ბათუმი, დიმიტრი თავდადებულის 49"
აჭარა,ბათუმი,შპს  განათლება,213,30,"ბათუმი, ქავთარაძის 1 შეს. 20"
აჭარა,ბათუმი,შპს  გიმნაზია-21-ე საუკუნე,400,51,"ქ. ბათუმი, პუშკინის 160"
აჭარა,ბათუმი,შპს  გორდას ქალაქ ბათუმის კერძო მრავალპროფილიანი საერო ელიტარული საშუალო სკოლა,308,48,"ბათუმი, დ. თავდადებულის ქ. №65"
აჭარა,ბათუმი,შპს  კავკასიის ბიზნესის სკოლა,217,40,"ბათუმი, გრიბოედოვის 67"
აჭარა,ბათუმი,შპს  მედიანა 2011,163,40,"ბათუმი, ლერმონტოვის 24"
აჭარა,ბათუმი,შპს  მომავლის სკოლა,187,34,"ქ. ბათუმი, აღმაშენებლის №13"
აჭარა,ბათუმი,შპს  სკოლა - ნიკე,333,48,"ბათუმი, მ. აბაშიძის 57"
აჭარა,ბათუმი,შპს  სკოლა ევრო-2000,620,70,"ბათუმი, გორგილაძის 91"
აჭარა,ბათუმი,შპს  სკოლა-ლიცეუმი მასტერკლასი,658,73,"ბათუმი,ფარნავაზ მეფის 138"
აჭარა,ბათუმი,შპს არილი,152,27,"ბათუმი, მაქაცარიას 11"
აჭარა,ბათუმი,შპს თაობა - XXI,160,25,"ბათუმი, დავით აღმაშენებლის 13"
აჭარა,ბათუმი,შპს ლედა,116,16,"ქ. ბათუმი, აღმაშენებლის ქ. №13, მესამე სართული"
აჭარა,ბათუმი,შპს მრავალდარგობრივი გიმნაზია იბერია,62,23,"ბათუმი, მელიქიშვილი/ნინოშვილის 1/27"
აჭარა,ბათუმი,შპს ნერგები,150,27,"ბათუმი, აღმაშენებლის 20ა"
აჭარა,ბათუმი,შპს რწმენა,0,4,"ბათუმი, ზუბალაშვილის 38"
აჭარა,ბათუმი,შპს ფრანგული სკოლა,57,21,"ბათუმი, სააკაძის 8"
აჭარა,ბათუმი,შპს ჩაღლარის საგანმანათლებლო დაწესებულებების ქ.ბათუმის რ.შაჰინის სახელობის მეგობრობის სკოლა-ლიცეუმი,414,50,"ბათუმი, ბაგრატიონის 117"
აჭარა,ქედა,სსიპ - დაბა ქედის საჯარო სკოლა,414,44,დაბა ქედა
აჭარა,ქედა,სსიპ - ფრიდონ თურმანიძის სახელობის ქედის მუნიციპალიტეტის სოფელ მერისის საჯარო სკოლა,201,36,სოფ. მერისი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ აგარის საჯარო სკოლა,23,14,სოფ. აგარა
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ აქუცის საჯარო სკოლა,8,9,სოფ. აქუცა
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ახოს №1 საჯარო სკოლა,102,26,სოფელი ახო
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ახოს საჯარო სკოლა,79,19,სოფ. ახო
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ გეგელიძეების საჯარო სკოლა,59,21,სოფ. გეგელიძეები
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ გოგიაშვილების საჯარო სკოლა,70,22,სოფ. გოგიაშვილები
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ დანდალოს საჯარო სკოლა,86,20,სოფ. დანდალო
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ დოლოგნის საჯარო სკოლა,108,24,სოფ. დოლოგანი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ვაიოს საჯარო სკოლა,73,21,სოფ. ვაიო
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ზედა ბზუბზუს საჯარო სკოლა,17,5,სოფელი ზედა ბზუბზუ
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ზვარეს საჯარო სკოლა,68,25,სოვ. ზვარე
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ინაშარიძეების საჯარო სკოლა,11,6,სოფ. ინაშარიძეები
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ კვაშტის საჯარო სკოლა,47,17,სოფ. კვაშტა
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ კოკოტაურის საჯარო სკოლა,58,18,სოფ. კოკოტაური
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ კოლოტაურის საჯარო სკოლა,18,11,სოფ. კოლოტაური
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ მახუნცეთის საჯარო სკოლა,94,27,სოფ. მახუნცეთი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ მეძიბნის საჯარო სკოლა,36,14,სოფ. მეძიბნა
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ორცვის საჯარო სკოლა,23,11,სოფ. ორცვა
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ოქტომბრის საჯარო სკოლა,40,23,სოფ. ოქტომბერი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ პირველი მაისის საჯარო სკოლა,107,31,სოფ. პირველი მაისი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ უჩხითის საჯარო სკოლა,100,24,სოფ. უჩხითი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ქვედა მახუნცეთის საჯარო სკოლა,99,30,სოფ. აწჰესი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ცხმორისის საჯარო სკოლა,106,23,სოფ. ცხმორისი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ძენწმანის საჯარო სკოლა,52,24,სოფ. ძენწმანი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ წონიარისის საჯარო სკოლა,172,34,სოფ. წონიარისი
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ხარაულის საჯარო სკოლა,95,23,სოფ. ხარაული
აჭარა,ქედა,სსიპ - ქედის მუნიციპალიტეტის სოფელ ჯალაბაშვილების საჯარო სკოლა,30,15,სოფ. ჯალაბაშვილები
აჭარა,ქობულეთი,ა(ა)იპ ქობულეთის წმიდა მღვდელმოწამე სრულიად საქართველოს კათოლიკოს-პატრიარქ კირიონ II სახელობის საგანმანათლებლო მართლმადიდებლური ცენტრი,402,42,"ქობულეთის რაიონი, აღმაშენებლის ქ. 251"
აჭარა,ქობულეთი,სსიპ - ბადრი ბერანძის სახელობის ქალაქ ქობულეთის №6 საჯარო სკოლა,262,30,რუსთაველის შესახ. №5
აჭარა,ქობულეთი,სსიპ - გიორგი შაინიძის სახელობის ქობულეთის მუნიციპალიტეტის დაბა ოჩხამურის საჯარო სკოლა,263,29,სოფ. ოჩხამური
აჭარა,ქობულეთი,სსიპ - ედნარ დიასამიძის სახელობის ქობულეთის მუნიციპალიტეტის სოფელ სახალვაშოს საჯარო სკოლა,116,21,სოფ. სახალვაშო
აჭარა,ქობულეთი,სსიპ - ზვიად დავითაძის სახელობის ქობულეთის მუნიციპალიტეტის სოფელ შუაღელეს საჯარო სკოლა,108,21,სოფ. შუაღელე
აჭარა,ქობულეთი,სსიპ - თეიმურაზ ჯორბენაძის სახელობის ქალაქ ქობულეთის №3 საჯარო სკოლა,516,43,რუსთაველის ქ. №168
აჭარა,ქობულეთი,სსიპ - ომარ ასლანიძის სახელობის ქობულეთის მუნიციპალიტეტის სოფელ ჯიხანჯურის საჯარო სკოლა,247,23,სოფ. ჯიხანჯური
აჭარა,ქობულეთი,სსიპ - რაულ მჟავანაძის სახელობის ქობულეთის მუნიციპალიტეტის სოფელ ლეღვას №2 საჯარო სკოლა,135,25,სოფ. ლეღვა
აჭარა,ქობულეთი,სსიპ - ქალაქ ქობულეთის №1 საჯარო სკოლა,658,48,აღმაშენებლის ქ. №47
აჭარა,ქობულეთი,სსიპ - ქალაქ ქობულეთის №2 საჯარო სკოლა,927,61,რუსთაველის ქ. №136
აჭარა,ქობულეთი,სსიპ - ქალაქ ქობულეთის №5 საჯარო სკოლა,314,32,თხილაიშვილის ქ. №42-ა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ალამბრის საჯარო სკოლა,207,29,სოფ. ალამბარი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ აჭის საჯარო სკოლა,26,14,სოფ. აჭი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ აჭყვას საჯარო სკოლა,117,22,სოფ. აჭყვა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ აჭყვისთავის საჯარო სკოლა,134,26,სოფ. აჭყვისთავი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ბობოყვათის საჯარო სკოლა,392,37,სოფ. ბობოყვათი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ბუკნარის საჯარო სკოლა,61,17,სოფ. ბუკნარი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ გვარას საჯარო სკოლა,171,23,სოფ. გვარა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ გორგაძეების საჯარო სკოლა,163,25,სოფ. გორგაძეები
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ დაგვას საჯარო სკოლა,210,37,სოფ დაგვა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ზედა აჭყვას საჯარო სკოლა,67,19,სოფ. ზედა აჭყვა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ზედა კვირიკეს საჯარო სკოლა,47,16,სოფ ზედა კვირიკე
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ზედა სამების საჯარო სკოლა,94,21,სოფ. ზედა სამება
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ზენითის საჯარო სკოლა,102,21,სოფ. ზენითი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ კვირიკეს №1 საჯარო სკოლა,101,23,სოფელი კვირიკე
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ კვირიკეს №2 საჯარო სკოლა,177,23,სოფ. კვირიკე
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ კონდიდის საჯარო სკოლა,45,12,სოფ. კონდიდი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ კოხის საჯარო სკოლა,50,15,სოფ. კოხი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ლეღვას №1 საჯარო სკოლა,239,27,სოფ. ლეღვა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ მუხაესტატეს საჯარო სკოლა,262,26,სოფ. მუხაესტატე
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ნაკაიძეების საჯარო სკოლა,35,15,სოფ. ნაკაიძეები
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ საჩინოს საჯარო სკოლა,109,23,სოფ. საჩინო
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ სკურას საჯარო სკოლა,44,14,სოფ. სკურა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ქაქუთის საჯარო სკოლა,151,23,სოფ. ქაქუთი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ქვედა კვირიკეს საჯარო სკოლა,208,27,სოფ. ქვ. კვირიკე
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ქვედა სამების საჯარო სკოლა,122,21,სოფ. ქვ.სამება
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ქობულეთის საჯარო სკოლა,185,25,სოფ. ქობულეთი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ჩაისუბნის №2 საჯარო სკოლა,372,47,სოფ. ჩაისუბანი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ჩაქვის №1 საჯარო სკოლა,987,67,თამარ მეფის  ქ. №75
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ჩაქვის №2 საჯარო სკოლა,221,25,"სოფ. ჩაქვი, ციტრუსების მეურნეობა"
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ცეცხლაურის №1 საჯარო სკოლა,269,27,სოფ. ცეცხლაური
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ცეცხლაურის №2 საჯარო სკოლა,83,15,სოფ. ცეცხლაური
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ციხისძირის საჯარო სკოლა,301,37,სოფ. ციხისძირი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ წყავროკას საჯარო სკოლა,134,26,სოფ. წყავროკა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ჭახათის საჯარო სკოლა,80,18,სოფ. ჭახათი
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ხალას საჯარო სკოლა,237,31,სოფ. ხალა
აჭარა,ქობულეთი,სსიპ - ქობულეთის მუნიციპალიტეტის სოფელ ხუცუბნის საჯარო სკოლა,367,50,სოფ. ხუცუბანი
აჭარა,ქობულეთი,შპს  ელიტ სქული,75,22,"ქობულეთის რაიონი, რუსთაველის ქ. 279"
აჭარა,ქობულეთი,შპს  ფარნავაზი,134,29,"ქობულეთის რაიონი, რუსთაველის ქ. 154"
აჭარა,ქობულეთი,შპს  ჩაქვის წმიდა კეთილმორწმუნე მეფე დავითის სახელობის სკოლა,193,21,"ქობულეთის რაიონი, ჩაქვი, თამარ მეფის №75"
აჭარა,შუახევი,ა(ა)იპ საქართველოს საპატრიარქოს ხიჭაურის წმ. გრიგოლ ხანძთელის სახელობის სკოლა,349,43,"შუახევის მუნიციპალიტეტი, სოფელი ტაკიძეები"
აჭარა,შუახევი,სსიპ - ამირან მამალაძის სახელობის შუახევის მუნიციპალიტეტის სოფელ ბარათაულის საჯარო სკოლა,77,22,სოფ. ბარათაული
აჭარა,შუახევი,სსიპ - დაბა შუახევის საჯარო სკოლა,122,26,დაბა შუახევი
აჭარა,შუახევი,სსიპ - თემური ცეცხლაძის სახელობის შუახევის მუნიციპალიტეტის სოფელ დარჩიძეების საჯარო სკოლა,54,20,სოფ. დარჩიძეები
აჭარა,შუახევი,სსიპ - იაგო მიქელაძის სახელობის შუახევის მუნიციპალიტეტის სოფელ ბუთურაულის საჯარო სკოლა,100,20,სოფ. ბუთურაული
აჭარა,შუახევი,სსიპ - ფრიდონ მახარაძის სახელობის შუახევის მუნიციპალიტეტის სოფელ მახალაკიძეების საჯარო სკოლა,62,16,სოფ. მახალაკიძეები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ახალდაბის საჯარო სკოლა,53,20,სოფ. ახალდაბა
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ბრილის საჯარო სკოლა,43,18,სოფ. ბრილი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ გოგაძეების საჯარო სკოლა,22,15,სოფ. გოგაძეები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ გოგინაურის საჯარო სკოლა,64,19,სოფ. გოგნიაური
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ გომარდულის საჯარო სკოლა,42,14,სოფ. გომარდული
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ დაბაძველის საჯარო სკოლა,27,19,სოფ. დაბაძველი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ დღვანის საჯარო სკოლა,39,25,სოფ. დღვანი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ვანის საჯარო სკოლა,15,9,სოფ. ვანი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ზემოხევის საჯარო სკოლა,25,11,სოფ. ზემოხევი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ინწკირვეთის საჯარო სკოლა,29,16,სოფ. ინწკირვეთი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ კარაპეტის საჯარო სკოლა,14,11,სოფ. კარაპეტი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ კვიახიძეების საჯარო სკოლა,19,12,სოფ. კვიახიძეები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ლომანაურის საჯარო სკოლა,19,14,სოფ. ლომანაური
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ მაწყვალთის საჯარო სკოლა,42,17,სოფ. მაწყვალთა
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ნაღვარევის საჯარო სკოლა,40,19,სოფ. ნაღვარევი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ნენიის საჯარო სკოლა,84,23,სოფ. ნენია
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ნიგაზეულის საჯარო სკოლა,143,25,სოფ. ნიგაზეული
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ოლადაურის საჯარო სკოლა,44,21,სოფ. ოლადაური
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ პაპოშვილების საჯარო სკოლა,25,20,სოფ. პაპოშვილები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ჟანივრის საჯარო სკოლა,9,12,სოფ. ჟანივრი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ სხეფის საჯარო სკოლა,29,14,სოფ. სხეფი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ტაკიძეების საჯარო სკოლა,18,19,სოფ. ტაკიძეები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ტბეთის საჯარო სკოლა,26,16,სოფ. ტბეთი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ტომაშეთის საჯარო სკოლა,20,14,სოფ. ტომაშეთი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ უჩამბის საჯარო სკოლა,69,25,სოფ. უჩამბა
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ფურტიოს საჯარო სკოლა,138,33,სოფ. ფურტიო
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ქიძინიძეების საჯარო სკოლა,41,21,სოფ. ქიძინიძეები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ შუბნის საჯარო სკოლა,86,21,სოფ. შუბანი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ჩანჩხალოს საჯარო სკოლა,57,18,სოფ.ჩანჩხალო
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ცინარეთის საჯარო სკოლა,25,15,სოფ. ცინარეთი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ცხემლისის საჯარო სკოლა,26,15,სოფ. ცხემლისი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ წაბლანის საჯარო სკოლა,25,14,სოფ. წაბლანა
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ წყაროთის საჯარო სკოლა,48,21,სოფ. წყაროთი
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ჭალის საჯარო სკოლა,53,19,სოფ. ჭალა
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ჭვანის საჯარო სკოლა,85,20,სოფ. ჭვანა
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ხაბელაშვილების საჯარო სკოლა,55,16,სოფ. ხაბელაშვილები
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ხიჭაურის საჯარო სკოლა,102,21,სოფ. ხიჭაური
აჭარა,შუახევი,სსიპ - შუახევის მუნიციპალიტეტის სოფელ ჯაბნიძეების საჯარო სკოლა,66,24,სოფ. ჯაბნიძეები
