რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
თბილისი,ისანი-სამგორი,№ 99 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 18,800.00 "," 20,845.30 "
თბილისი,ისანი-სამგორი,№103 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 5,900.00 "," 4,073.40 "
თბილისი,ისანი-სამგორი,№108 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 4,500.00 "," 5,395.80 "
თბილისი,ისანი-სამგორი,№172 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 19,600.00 "," 8,263.40 "
თბილისი,ისანი-სამგორი,ვარკეთილის საჯარო სკოლა,გაზმომარაგება," 25,078.57 "," 25,078.57 "
თბილისი,ისანი-სამგორი,ფონიჭალის საჯარო სკოლა,გაზმომარაგება," 5,663.92 "," 5,663.92 "
თბილისი,ძველი თბილისი,№ 50 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 4,600.00 "," 2,529.90 "
თბილისი,ძველი თბილისი,№ 68 საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაციის დასრულება," 6,300.00 "," 12,546.90 "
თბილისი,ძველი თბილისი,№104 საჯარო სკოლა,სპორტული დარბაზის და ფოიეს რეაბილიტაცია ," 60,000.00 "," 49,000.00 "
აჭარა,ქობულეთი,"პროფესიული კოლეჯი 
,,ახალი ტალღა""",რეაბილიტაცია," 1,446,760.00 "," 1,441,880.00 "
გურია,ლანჩხუთი,ჩიბათის საჯარო სკოლა,პროექტირება/მშენებლობა," 2,325,206.00 "," 1,949,000.00 "
გურია,ლანჩხუთი,ხაჯალიას საჯარო სკოლა,პროექტირება/მშენებლობა," 1,950,000.00 "," 1,922,420.00 "
გურია,ოზურგეთი,"პროფესიული კოლეჯი ,,ჰორიზონტი""",რეაბილიტაცია," 650,000.00 "," 434,023.71 "
