რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
იმერეთი,წყალტუბო,სოფ. ქვიტირის საჯარო სკოლა,რეაბილიტაცია," 10,000.00 "," 5,999.00 "
იმერეთი,წყალტუბო,სოფ. მაღლაკის №2 საჯარო სკოლა,რეაბილიტაცია," 43,000.00 "," 35,000.00 "
იმერეთი,ხონი,№3 საჯარო სკოლა,რეაბილიტაცია," 30,000.00 "," 30,000.00 "
იმერეთი,ხონი,ვ. ჯანჯღავას სახ. სოფ. გუბის საჯარო სკოლა,რეაბილიტაცია," 35,000.00 "," 23,499.00 "
იმერეთი,ვანი,სოფ. ბზვანის საჯარო სკოლა,რეაბილიტაცია," 65,000.00 "," 45,000.00 "
იმერეთი,ბაღდათი,№ 2საჯარო სკოლა,რეაბილიტაცია," 29,986.33 "," 29,341.00 "
იმერეთი,ბაღდათი,სოფ. დიმის №1 საჯარო სკოლა,რეაბილიტაცია," 29,842.46 "," 21,678.00 "
იმერეთი,ზესტაფონი,სოფ. ტაბაკინის საჯარო სკოლა,რეაბილიტაცია," 58,629.07 "," 53,900.00 "
იმერეთი,ზესტაფონი,სოფ. ქვ. საქარის საჯარო სკოლა,რეაბილიტაცია," 50,628.86 "," 44,600.00 "
იმერეთი,ზესტაფონი,fuTis sajaro skola,რეაბილიტაცია," 9,430.00 ",
იმერეთი,სამტრედია,№9 საჯარო სკოლა,რეაბილიტაცია," 49,975.80 "," 27,966.00 "
იმერეთი,სამტრედია,სოფ. კულაშის საჯარო სკოლა,რეაბილიტაცია," 54,973.38 "," 50,121.00 "
იმერეთი,ტყიბული,სოფ. ძიროვნის სკოლა,რეაბილიტაცია," 3,000.00 "," 2,965.11 "
იმერეთი,ტყიბული,მუხურას №2 საჯარო სკოლა,რეაბილიტაცია," 12,960.00 ",
იმერეთი,თერჯოლა,სოფ. კვახჭირის საჯარო სკოლა,რეაბილიტაცია," 110,000.00 "," 74,444.00 "
იმერეთი,ხარაგაული,სოფ. კიცხის საჯარო სკოლა,რეაბილიტაცია," 48,700.00 "," 42,499.00 "
იმერეთი,ხარაგაული,სოფ. ხევის საჯარო სკოლა,რეაბილიტაცია," 51,299.78 "," 47,444.00 "
იმერეთი,ხარაგაული,სოფ. ვერტყვიჭალის საჯარო სკოლა,რეაბილიტაცია," 85,674.51 "," 55,900.00 "
იმერეთი,ჭიათურა,სოფ. ნიგოზეთის  საჯარო სკოლა,რეაბილიტაცია," 19,999.74 "," 19,448.00 "
იმერეთი,ჭიათურა,№4 საჯარო სკოლა,რეაბილიტაცია," 2,000.00 "," 2,000.00 "
მცხეთა–მთიანეთი,მცხეთა,სოფ. ძველი ქანდის საჯარო სკოლა,რეაბილიტაცია," 49,985.00 "," 48,909.00 "
მცხეთა–მთიანეთი,დუშეთი,სოფ. არაგვისპირის  საჯარო სკოლა,რეაბილიტაცია," 17,999.58 "," 16,490.00 "
მცხეთა–მთიანეთი,დუშეთი,სოფ. ჩირიკის საჯარო სკოლა,რეაბილიტაცია," 17,999.56 "," 16,000.00 "
მცხეთა–მთიანეთი,დუშეთი,სოფ. ანანურის საჯარო სკოლა,რეაბილიტაცია," 13,999.99 "," 13,326.00 "
მცხეთა–მთიანეთი,თიანეთი,სოფ. ჟებოტის საჯარო სკოლა,რეაბილიტაცია," 24,970.97 "," 20,100.00 "
მცხეთა–მთიანეთი,თიანეთი,სოფ. ზარიძეების საჯარო სკოლა,რეაბილიტაცია," 14,999.34 "," 14,653.61 "
მცხეთა–მთიანეთი,თიანეთი,სოფ. ტუშურების საჯარო სკოლა,რეაბილიტაცია," 9,980.00 "," 9,318.82 "
მცხეთა–მთიანეთი,სტეფანწმინდა,სტეფანწმინდის საჯარო სკოლა,რეაბილიტაცია," 4,639.27 "," 4,639.27 "
ქვემო ქართლი,რუსთავი,№7  საჯარო სკოლა ,რეაბილიტაცია," 22,485.66 "," 21,314.00 "
ქვემო ქართლი,რუსთავი,№9   საჯარო სკოლა,რეაბილიტაცია," 12,174.60 "," 11,725.00 "
ქვემო ქართლი,რუსთავი,№12  საჯარო სკოლა,რეაბილიტაცია," 17,613.00 "," 16,888.00 "
ქვემო ქართლი,რუსთავი,№25  საჯარო სკოლა,რეაბილიტაცია," 30,628.00 "," 28,347.00 "
ქვემო ქართლი,რუსთავი,№13  საჯარო სკოლა,რეაბილიტაცია," 14,460.00 "," 12,217.00 "
ქვემო ქართლი,რუსთავი,№15  საჯარო სკოლა,რეაბილიტაცია," 22,724.00 "," 21,374.00 "
ქვემო ქართლი,რუსთავი,№23  საჯარო სკოლა,რეაბილიტაცია," 22,320.00 "," 16,490.00 "
ქვემო ქართლი,რუსთავი,№24  საჯარო სკოლა,რეაბილიტაცია," 14,583.00 "," 13,379.00 "
ქვემო ქართლი,რუსთავი,№22  საჯარო სკოლა,რეაბილიტაცია," 11,100.00 "," 10,623.00 "
ქვემო ქართლი,რუსთავი,№17  საჯარო სკოლა,რეაბილიტაცია," 24,420.00 "," 19,330.00 "
