რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი, სახელშეკრულებო თანხა 
შიდა ქართლი,კასპი,კასპის  მუნიციპალიტეტის სოფელ დოესის საჯარო სკოლა,რეაბილიტაცია," 174,384.42 "
შიდა ქართლი,კასპი,კასპის  მუნიციპალიტეტის სოფელ ლამისყანის საჯარო სკოლა,რეაბილიტაცია," 151,208.48 "
შიდა ქართლი,კასპი,კასპის მუნიციპალიტეტის სოფელ სასირეთის საჯარო სკოლა,რეაბილიტაცია," 62,277.09 "
შიდა ქართლი,კასპი,კასპის მუნიციპალიტეტის სოფელ სამთავისის საჯარო სკოლა,რეაბილიტაცია/გაზიფიცირება," 88,344.00 "
შიდა ქართლი,კასპი,კასპის მუნიციპალიტეტის სოფელ კავთისხევის საჯარო სკოლა,რეაბილიტაცია," 7,775.93 "
შიდა ქართლი,ქარელი,ქალაქ ქარელის №1 საჯარო სკოლა,რეაბილიტაცია," 7,999.01 "
შიდა ქართლი,ქარელი,ქალაქ ქარელის №2 საჯარო სკოლა,რეაბილიტაცია," 22,500.00 "
შიდა ქართლი,ქარელი,ქარელის მუნიციპალიტეტის სოფელ აბანოს საჯარო სკოლა,მშენებლობა/ტექნიკური პირობების უზრუნველყოფა," 1,439,800.00 "
შიდა ქართლი,ქარელი,ქარელის მუნიციპალიტეტის სოფელ რუისის №2 საჯარო სკოლა,რეაბილიტაცია," 146,990.00 "
შიდა ქართლი,ხაშური,ხაშურის  მუნიციპალიტეტის სოფელ ალის საჯარო სკოლა (ბრილის კორპუსი),ავარიულობის შესწავლა," 72,108.00 "
შიდა ქართლი,ხაშური,ხაშურის  მუნიციპალიტეტის სოფელ ტეზრის საჯარო სკოლა,რეაბილიტაცია," 115,750.00 "
შიდა ქართლი,ხაშური,ილია ჭავჭავაძის სახელობის ქალაქ ხაშურის №3 საჯარო სკოლა,რეაბილიტაცია," 16,325.00 "
შიდა ქართლი,ხაშური,ქალაქ ხაშურის №4 საჯარო სკოლა,რეაბილიტაცია," 18,620.00 "
შიდა ქართლი,ხაშური,ქალაქ ხაშურის №8 საჯარო სკოლა,დემონტაჟი/რეაბილიტაცია," 48,821.00 "
თბილისი,,თბილისის ხელოვნების კოლეჯი (თოიძე),რეაბილიტაცია," 870,000.00 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,სსიპ სენაკის პროფესიული სასწავლებელი,რეაბილიტაცია,449820.49
იმერეთი,ქუთაისი,ქალაქ ქუთაისის №11 საჯარო სკოლა,რეაბილიტაცია," 7,383.81 "
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ქალაქ ზუგდიდის №9 საჯარო სკოლა,რეაბილიტაცია," 12,847.00 "
თბილისი,,საქართველოს ტექნიკური უნივერსიტეტი,რეაბილიტაცია," 403,894.76 "
